tag,patterns,responses
salam,"['Hai', 'Hai', 'Apakah ada orang di sana?', 'Hai, yang di sana', 'Halo', 'Halo', 'Howdy', 'Halo', 'Halo', 'Konnichiwi', 'Selamat tinggal', 'Ola']","['Halo yang disana.Katakan padaku bagaimana perasaanmu hari ini?', 'Hai, yang di sana.Apa yang membawamu ke sini hari ini?', 'Hai, yang di sana.Bagaimana perasaan Anda hari ini?', 'Senang bertemu denganmu.Bagaimana perasaan Anda saat ini?', 'Halo yang disana.Senang melihat Anda kembali.Apa yang terjadi di dunia Anda saat ini?']"
Pagi,['Selamat pagi'],['Selamat pagi.Saya harap Anda tidur nyenyak.Bagaimana perasaan Anda hari ini?']
sore,['Selamat siang'],['Selamat siang.Bagaimana hari mu?']
malam,['Selamat malam'],['Selamat malam.Bagaimana harimu?']
malam,['Selamat malam'],"['Selamat malam.Tidur nyenyak', 'Selamat malam.Mimpi indah.']"
selamat tinggal,"['Selamat tinggal', 'Sampai jumpa lagi', 'Selamat tinggal', 'Selamat tinggal', 'Sayard saya', 'ok bye', 'Selamat tinggal kalau begitu', 'Tarifmu dengan baik']","['Sampai jumpa lagi.', 'Semoga harimu menyenangkan.', 'Selamat tinggal!Kembali lagi.', 'Sampai jumpa.']"
terima kasih,"['Terima kasih', 'Terima kasih', 'Itu membantu', 'Terima kasih untuk bantuannya', 'Dari Anda']","['Saya senang bisa membantu!', 'Kapan pun!', 'Dengan senang hati', 'Anda dipersilahkan!']"
tidak ada respon,[''],"['Maaf, saya tidak mengerti Anda.', 'Silakan lanjutkan.', 'Tidak yakin saya mengerti itu.', 'Tolong jangan ragu untuk berbicara dengan saya.']"
respons netral,['tidak banyak'],['Oh begitu.Apakah Anda ingin membicarakan sesuatu?']
tentang,"['Siapa kamu?', 'Apa yang kamu?', 'Siapa kamu?', 'Ceritakan padaku lebih banyak lagi tentang dirimu.', 'Siapa namamu?', 'Apa yang harus saya hubungi?', 'Siapa namamu?', 'Ceritakan tentang dirimu']","['Saya Pandora, asisten AI terapeutik pribadi Anda.Bagaimana perasaan Anda hari ini', 'Saya Pandora, assitan AI terapeutik yang dirancang untuk membantu Anda.Ceritakan tentang dirimu.', 'Saya Pandora.Saya seorang agen percakapan yang dirancang untuk meniru terapis.Jadi bagaimana perasaanmu hari ini?', 'Anda bisa memanggil saya Pandora.', 'Saya Pandora!', 'Panggil aku Pandora']"
keahlian,['Apa yang bisa kau lakukan?'],"['Saya dapat memberikan saran umum tentang kecemasan dan depresi, menjawab pertanyaan yang berkaitan dengan kesehatan mental dan melakukan percakapan sehari -hari.Jangan menganggap saya sebagai subsitute untuk pekerja perawatan kesehatan mental yang sebenarnya.Silakan mencari bantuan jika Anda tidak merasa puas dengan saya.']"
penciptaan,"['Siapa yang menciptakanmu?', 'Bagaimana kabarmu?', 'Bagaimana Anda dibuat?']","['Saya diciptakan oleh>.', 'Saya dilatih pada dataset teks menggunakan teknik pembelajaran yang mendalam & pemrosesan bahasa alami', 'Pertanyaan sebenarnya adalah: Siapa yang menciptakan Anda?']"
nama,"['Nama saya adalah', 'Saya nama.', 'Saya pergi']","['Oh senang bertemu denganmu.Katakan padaku bagaimana minggumu?', 'Senang berkenalan dengan Anda.Jadi katakan padaku.bagaimana perasaanmu hari ini?', 'Itu nama yang bagus.Ceritakan padaku lebih banyak lagi tentang dirimu.']"
